"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Annotation of Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Annotation of Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)",
"1500000US060855001001","Block Group 1, Census Tract 5001, Santa Clara County, California","46574","null","43009","null",
"1500000US060855001002","Block Group 2, Census Tract 5001, Santa Clara County, California","154671","null","119943","null",
"1500000US060855001003","Block Group 3, Census Tract 5001, Santa Clara County, California","57679","null","44836","null",
"1500000US060855001004","Block Group 4, Census Tract 5001, Santa Clara County, California","157961","null","33424","null",
"1500000US060855002001","Block Group 1, Census Tract 5002, Santa Clara County, California","83667","null","63199","null",
"1500000US060855002002","Block Group 2, Census Tract 5002, Santa Clara County, California","-","-","**","**",
"1500000US060855002003","Block Group 3, Census Tract 5002, Santa Clara County, California","112778","null","41443","null",
"1500000US060855002004","Block Group 4, Census Tract 5002, Santa Clara County, California","148488","null","31710","null",
"1500000US060855003001","Block Group 1, Census Tract 5003, Santa Clara County, California","151406","null","32900","null",
"1500000US060855003002","Block Group 2, Census Tract 5003, Santa Clara County, California","103750","null","36590","null",
"1500000US060855004001","Block Group 1, Census Tract 5004, Santa Clara County, California","98301","null","9555","null",
"1500000US060855004002","Block Group 2, Census Tract 5004, Santa Clara County, California","99444","null","32639","null",
"1500000US060855005001","Block Group 1, Census Tract 5005, Santa Clara County, California","145057","null","32936","null",
"1500000US060855005002","Block Group 2, Census Tract 5005, Santa Clara County, California","112188","null","27324","null",
"1500000US060855005003","Block Group 3, Census Tract 5005, Santa Clara County, California","129524","null","82825","null",
"1500000US060855005004","Block Group 4, Census Tract 5005, Santa Clara County, California","200536","null","67572","null",
"1500000US060855005005","Block Group 5, Census Tract 5005, Santa Clara County, California","101314","null","27137","null",
"1500000US060855006001","Block Group 1, Census Tract 5006, Santa Clara County, California","193077","null","138482","null",
"1500000US060855006002","Block Group 2, Census Tract 5006, Santa Clara County, California","180577","null","44043","null",
"1500000US060855006003","Block Group 3, Census Tract 5006, Santa Clara County, California","134038","null","15034","null",
"1500000US060855006004","Block Group 4, Census Tract 5006, Santa Clara County, California","65896","null","14903","null",
"1500000US060855008001","Block Group 1, Census Tract 5008, Santa Clara County, California","64900","null","18392","null",
"1500000US060855008002","Block Group 2, Census Tract 5008, Santa Clara County, California","185625","null","41551","null",
"1500000US060855008003","Block Group 3, Census Tract 5008, Santa Clara County, California","123669","null","23454","null",
"1500000US060855009011","Block Group 1, Census Tract 5009.01, Santa Clara County, California","-","-","**","**",
"1500000US060855009012","Block Group 2, Census Tract 5009.01, Santa Clara County, California","161339","null","32654","null",
"1500000US060855009013","Block Group 3, Census Tract 5009.01, Santa Clara County, California","63750","null","20229","null",
"1500000US060855009021","Block Group 1, Census Tract 5009.02, Santa Clara County, California","41296","null","7669","null",
"1500000US060855009022","Block Group 2, Census Tract 5009.02, Santa Clara County, California","35250","null","17654","null",
"1500000US060855010001","Block Group 1, Census Tract 5010, Santa Clara County, California","41661","null","5289","null",
"1500000US060855010002","Block Group 2, Census Tract 5010, Santa Clara County, California","101731","null","81355","null",
"1500000US060855010003","Block Group 3, Census Tract 5010, Santa Clara County, California","26474","null","10469","null",
"1500000US060855010004","Block Group 4, Census Tract 5010, Santa Clara County, California","-","-","**","**",
"1500000US060855010005","Block Group 5, Census Tract 5010, Santa Clara County, California","90339","null","37504","null",
"1500000US060855011011","Block Group 1, Census Tract 5011.01, Santa Clara County, California","82837","null","27490","null",
"1500000US060855011012","Block Group 2, Census Tract 5011.01, Santa Clara County, California","103199","null","12843","null",
"1500000US060855011021","Block Group 1, Census Tract 5011.02, Santa Clara County, California","143390","null","28245","null",
"1500000US060855011022","Block Group 2, Census Tract 5011.02, Santa Clara County, California","82674","null","15482","null",
